Style#,Category Name,Collection Name,Wholesale Price,Retail Price,status,Long Description,Metal Type,Diamond Quantity,Diamond Weight,Type,Qty On Hand,Memo Out,Owned,~
RN182,ROND-DIV,,    200.00,    400.00,Yes,18K WG Rondelles/Divider with 11 Diamonds = 0.11 cts,18KWG,         0,      0.00,,       -45,         0,       -45,~
RN183,ROND-DIV,,    250.00,    500.00,Yes,18K YG Rondelles with Divider 11 Diamonds 0.11 cts,18KYG,         0,      0.00,,       -19,         0,       -19,~
R00001,UNFOUND,,      0.00,      0.00,Yes,Ring,,         0,      0.00,,       -16,         0,       -16,~
RN211,ROND-DIV,,    200.00,    400.00,Yes,18K WG Rondelles with 11 Diamonds = 0.11 cts,18KWG,         0,      0.00,,       -14,         0,       -14,~
RN181,ROND-DIV,,    100.00,    200.00,Yes,18K YG Rondelles,18KYG,         0,      0.00,,       -12,         0,       -12,~
RN196,ROND-DIV,,    300.00,    600.00,Yes,18K WG Rondelles with 13 Diamonds = 0.13 cts and 12.0mm,18KWG,         0,      0.00,,       -12,         0,       -12,~
RN179,ROND-DIV,,    100.00,    200.00,Yes,18K WG Rondelles with Rd Diamonds = 0.01 cts,18KWG,         0,      0.00,,       -11,         0,       -11,~
CK830,CLASP,,   2200.00,   4400.00,Yes,18K YG Clasp 145 Diamonds 1.0875 cts,18KYG,       145,      1.09,WHITE DIAM,       -10,         0,       -10,~
RN207,ROND-DIV,,    200.00,    400.00,Yes,18K WG Rondelles with 11 Diamonds = 0.11 cts,18KWG,         0,      0.00,,       -10,         0,       -10,~
CE007,FINDINGS,,    600.00,   1200.00,Yes,Pair Of 18K YG Omega Clip Backs,18KYG,         0,      0.00,,        -8,         0,        -8,~
CE021,FINDINGS,,    900.00,   1800.00,Yes,Pair Of Platinum Clip Backs,PLAT,         0,      0.00,,        -8,         0,        -8,~
CE030,FINDINGS,,   1100.00,   2200.00,Yes,Pair Of Platinum Clip Backs,PLAT,         0,      0.00,,        -8,         0,        -8,~
RN209,ROND-DIV,,    200.00,    400.00,Yes,18K WG Rondelles with 12 Diamonds = 0.12 cts,18KWG,         0,      0.00,,        -8,         0,        -8,~
C1031,CLASP,,  11900.00,  23800.00,Yes,18K YG Clasp with 280 Rd Diamonds = 3.40 cts and 280 Bag Rubies = 19.07 cts,18KYG,         0,      0.00,WHITE DIAM,        -7,         0,        -7,~
CE012,FINDINGS,,    700.00,   1400.00,Yes,Pair Of 18K YG Clip Backs,18KYG,         0,      0.00,,        -7,         0,        -7,~
CE015,FINDINGS,,    600.00,   1200.00,Yes,Pair Of 18K WG Omega Clip Backs,18KWG,         0,      0.00,,        -6,         0,        -6,~
CK907,CLASP,,    750.00,   1500.00,Yes,18K WG 4 Rows Divider with Diamonds 0.255 cts,18KWG,         0,      0.26,WHITE DIAM,        -6,         0,        -6,~
MNN0005,FINDINGS,,      0.00,      0.00,Yes,18K YG Chain - count by grams larg cable 3.6mm,18KYG,         0,      0.00,,        -6,         0,        -6,~
RN188,ROND-DIV,,    200.00,    400.00,Yes,18K WG Rondelles with 12 Diamonds = 0.12 cts,18KWG,         0,      0.00,,        -6,         0,        -6,~
RN189,ROND-DIV,,    300.00,    600.00,Yes,18K WG Rondelles with 13 Diamonds = 0.13 cts,18KWG,         0,      0.00,,        -6,         0,        -6,~
